THE BAND WIDTH IS 12 
NODE NO., TEMPERATURES
 1             179.9999 
 2             180 
 3             180 
 4             180 
 5             180 
 6             180 
 7             180 
 8             180 
 9             180 
 10            68.11016 
 11            118.6844 
 12            143.7254 
 13            154.2492 
 14            160.7629 
 15            164.7994 
 16            167.256 
 17            168.5904 
 18            169.0146 
 19            51.96283 
 20            94.82937 
 21            121.9681 
 22            132.5086 
 23            144.0032 
 24            151.1786 
 25            155.6342 
 26            158.091 
 27            158.8777 
 28            45.13747 
 29            78.92422 
 30            103.2396 
 31            119.2336 
 32            131.5626 
 33            140.2776 
 34            146.0114 
 35            149.2616 
 36            150.3144 
 37            37.30283 
 38            72.49044 
 39            92.83266 
 40            109.6238 
 41            122.736 
 42            132.3576 
 43            138.8721 
 44            142.6297 
 45            143.8566 
 46            42.5673 
 47            63.30823 
 48            85.97681 
 49            103.6929 
 50            117.3999 
 51            127.5449 
 52            134.4897 
 53            138.5285 
 54            139.8527 
 55            39.5853 
 56            62.5688 
 57            84.07342 
 58            101.7713 
 59            115.6258 
 60            125.9322 
 61            133.0134 
 62            137.142 
 63            138.4973 
 ** CONDUCTION HEAT FLOW PER UNIT AREA IN EACH ELEMENT ** 
ELEMENT#   QX= -K*DT/DX    QY= -K*DT/DY 
 1             1517.226     -3356.693 
 2             1.373291E-03               -1839.469 
 3             751.2317     -1839.468 
 4             0            -1088.237 
 5             315.7145     -1088.237 
 6             0            -772.5227 
 7             195.4111     -772.5227 
 8             4.577637E-04               -577.1122 
 9             121.0936     -577.1122 
 10            0            -456.0186 
 11            73.69811     -456.0186 
 12            0            -382.3204 
 13            40.03189     -382.3204 
 14            0            -342.2886 
 15            12.7272      -342.2886 
 16            0            -329.5614 
 17            1285.996     -484.42 
 18            1517.226     -715.6497 
 19            565.1882     -715.6497 
 20            751.2317     -652.7195 
 21            316.2146     -652.7195 
 22            315.7145     -652.2194 
 23            344.8375     -652.2194 
 24            195.4111     -502.793 
 25            215.2629     -502.793 
 26            121.0936     -408.6237 
 27            133.6688     -408.6237 
 28            73.69811     -348.653 
 29            73.7027      -348.653 
 30            40.03189     -314.9821 
 31            23.60275     -314.9821 
 32            12.7272      -304.1066 
 33            1013.602     -204.7607 
 34            1285.996     -477.1544 
 35            729.4625     -477.1543 
 36            814.1618     -561.8536 
 37            479.8203     -561.8537 
 38            316.2146     -398.248 
 39            369.869      -398.248 
 40            344.8375     -373.2166 
 41            261.449      -373.2166 
 42            215.2629     -327.0305 
 43            172.0143     -327.0305 
 44            133.6688     -288.685 
 45            97.50687     -288.685 
 46            73.7027      -264.8808 
 47            31.58295     -264.8808 
 48            23.60275     -256.9006 
 49            1055.628     -235.0394 
 50            1013.602     -193.0135 
 51            610.2667     -193.0135 
 52            729.4625     -312.2092 
 53            503.7344     -312.2092 
 54            479.8202     -288.295 
 55            393.3657     -288.295 
 56            369.8689     -264.7982 
 57            288.649      -264.7982 
 58            261.449      -237.5981 
 59            195.4339     -237.5981 
 60            172.0143     -214.1784 
 61            112.7284     -214.1784 
 62            97.50687     -198.9569 
 63            36.80695     -198.9569 
 64            31.58295     -193.7329 
 65            622.2277      157.9343 
 66            622.2277     -275.4663 
 67            680.0577     -275.4662 
 68            610.2667     -205.6753 
 69            531.4839     -205.6753 
 70            503.7344     -177.9259 
 71            411.2089     -177.9259 
 72            393.3657     -160.0827 
 73            304.3485     -160.0827 
 74            288.649      -144.3832 
 75            208.3465     -144.3832 
 76            195.4339     -131.4706 
 77            121.1636     -131.4706 
 78            112.7284     -123.0354 
 79            39.7261      -123.0354 
 80            36.80694     -120.1163 
 81            689.5046     -89.45995 
 82            622.2277     -22.183 
 83            645.1388     -22.183 
 84            680.0577     -57.10189 
 85            530.9352     -57.1019 
 86            531.4839     -57.65053 
 87            415.6371     -57.65053 
 88            411.2089     -53.22235 
 89            309.1919     -53.22235 
 90            304.3485     -48.37898 
 91            212.436      -48.37898 
 92            208.3465     -44.28955 
 93            123.8562     -44.28955 
 94            121.1636     -41.59698 
 95            40.66131     -41.59698 
 96            39.7261      -40.66177 
