THE BAND WIDTH IS 7 
NODE NO., TEMPERATURES
 1             179.9999 
 2             180 
 3             180 
 4             180 
 5             180 
 6             43.78017 
 7             113.7249 
 8             142.042 
 9             154.0865 
 10            157.5098 
 11            39.75513 
 12            89.07745 
 13            120.3567 
 14            136.7941 
 15            141.8661 
 16            38.22373 
 17            82.473 
 18            113.5134 
 19            130.8671 
 20            136.3666 
 ** CONDUCTION HEAT FLOW PER UNIT AREA IN EACH ELEMENT ** 
ELEMENT#   QX= -K*DT/DX    QY= -K*DT/DY 
 1             1049.171     -2043.296 
 2             1.144409E-03               -994.1261 
 3             1049.171     -369.7119 
 4             739.8347     -60.3756 
 5             739.8347     -99.0667 
 6             663.739      -22.97098 
 7             0            -569.3694 
 8             424.7567     -994.1261 
 9             424.7567     -325.2793 
 10            469.1893     -369.7119 
 11            469.1893     -102.6503 
 12            465.6057     -99.0667 
 13            2.288818E-04               -388.7029 
 14            180.6667     -569.3694 
 15            180.6667     -259.3856 
 16            246.5604     -325.2793 
 17            246.5604     -88.90571 
 18            260.305      -102.6503 
 19            0            -337.3533 
 20            51.34964     -388.7029 
 21            51.34963     -234.6544 
 22            76.08077     -259.3856 
 23            76.08077     -82.49335 
 24            82.49313     -88.90571 
